hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (3),W4Efsd (4),W4Efsd (5),FQ2IWe src,ah5Ghc,M4A5Cf,ah5Ghc (2),M4A5Cf (2),ah5Ghc (3),A1zNzb href,J8zHNe,bbPy1,AJB7ye,AJB7ye (2),doJOZc,Jn12ke src,A1zNzb href (2),J8zHNe (2),bbPy1 (2),eXlrNe,W4Efsd (6)
https://www.google.com/maps/place/%E5%A3%AB%E6%9D%B1%E6%B0%B4%E7%94%A2%E3%83%BB%E6%BC%81%E7%AD%B7%EF%BD%9C%E5%A4%A9%E6%AF%8D%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86+%E5%AE%9A%E9%A3%9F%EF%BC%8E%E7%83%A4%E9%AD%9A%EF%BC%8E%E7%94%9F%E9%AD%9A%E7%89%87/data=!4m7!3m6!1s0x3442af0057b619d9:0x328a1bb758b7351a!8m2!3d25.1118917!4d121.5282819!16s%2Fg%2F11w26fxvfp!19sChIJ2Rm2VwCvQjQRGjW3WLcbijI?authuser=0&hl=zh-TW&rclk=1,士東水產・漁筷｜天母日本料理 定食．烤魚．生魚片,4.8,(132),日本菜,士東路64號1樓,營業中,· 打烊時間：14:30 · 恢復營業時間：17:00,https://lh3.googleusercontent.com/p/AF1QipMwG87MeXIoaFNZ7MQVc1lEyE5cCwjyRNOFEQN9=w137-h92-k-no,內用,·,外帶,·,無外送服務,https://www.google.com/viewer/chooseprovider?mid=/g/11w26fxvfp&g2lbs=AO8LyOJjsIHY4CpZ85FSFFzjvM61Lr1kfMRj-UaULeat3Pp8Xm9PdmFHD5AaaugIk8Dukatz8eGmI04E4lsqaMomFdcM3QlAO8vwBx9lbCVAuMPUqqUnZZ3TlsLybphsGEHX8N1Ma0WK&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=5CVGaYHCEemqvr0P8Iiz2QM&ei=5CVGaYHCEemqvr0P8Iiz2QM&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,,,,,,,,,
https://www.google.com/maps/place/%E7%8C%9B%E7%94%B2%E7%94%9F%E9%AD%9A%E7%89%87+%E5%A4%A9%E6%AF%8D/data=!4m7!3m6!1s0x3442afd8f3c2c6fb:0x328c5ab8e5c283b0!8m2!3d25.1109146!4d121.5295064!16s%2Fg%2F11xf7v3237!19sChIJ-8bC89ivQjQRsIPC5bhajDI?authuser=0&hl=zh-TW&rclk=1,猛甲生魚片 天母,5.0,(33),日本菜,·,營業中,· 打烊時間：14:00 · 恢復營業時間：16:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwg7cHICBAmP3b0U4VQdVtqCneGep_rBpMZurUI2sOnPjcmVsFz9eCc9JmeuCQB3fV_6w2_z9YDHAM1H23UN0NdXTG_rQojFbgXZbAZ17ExvG820busKkPDWwsmoYBGRZF_DnhSv6k98tYQ=w122-h92-k-no,內用,·,店外取貨,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11xf7v3237&g2lbs=AO8LyOIRNymZHB9xzsx70xu6sAykJa7qjRjC9DqRBbZ4DzPvHmTQzpHTAiQh_-g3oYcgB2_R5Vjrvq-ISw5eyU3vUhnWqa_Pqbes8grQOnccDZDaCSLzlQehd2Cq6vsmrZky65zcPoA-&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=5CVGaYHCEemqvr0P8Iiz2QM&ei=5CVGaYHCEemqvr0P8Iiz2QM&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$200-400,,,,,,,
https://www.google.com/maps/place/%E9%AD%9A%E5%90%9B+%E3%81%95%E3%81%8B%E3%81%AA%E3%81%8F%E3%82%93+%E5%A4%A9%E6%AF%8DSOGO%E5%BA%97/data=!4m7!3m6!1s0x3442af6cccedff11:0x8eeaa763a384ff1a!8m2!3d25.105306!4d121.5245943!16s%2Fg%2F11y1ypyj1b!19sChIJEf_tzGyvQjQRGv-Eo2On6o4?authuser=0&hl=zh-TW&rclk=1,魚君 さかなくん 天母SOGO店,3.8,(211),日本菜,·,營業中,· 打烊時間：22:00,https://lh3.googleusercontent.com/p/AF1QipPzJaBphwwpLWjVIXS4NyY05XSqSt06G3xGQsGD=w163-h92-k-no,內用,·,無外送服務,,,https://www.google.com/maps/reserve/v/dine/c/lbmWGoXt7Xo?source=pa&opi=79508299&hl=zh-TW&gei=5CVGaYHCEemqvr0P8Iiz2QM&sourceurl=https://www.google.com/search?tbm%3Dmap%26authuser%3D0%26hl%3Dzh-TW%26gl%3Dtw%26q%3D%25E5%25A4%25A9%25E6%25AF%258D%25E7%2594%259F%25E9%25AD%259A%25E7%2589%2587%26pb%3D!1z5aSp5q-N55Sf6a2a54mH!4m12!1m3!1d14451.227162412208!2d121.52364895!3d25.108397250000003!2m3!1f0.0!2f0.0!3f0.0!3m2!1i1024!2i768!4f13.1!7i20!10b1!12m50!1m5!18b1!30b1!31m1!1b1!34e1!2m4!5m1!6e2!20e3!39b1!6m22!49b1!63m0!66b1!74i150000!85b1!91b1!114b1!149b1!206b1!212b1!213b1!223b1!227b1!232b1!233b1!234b1!244b1!246b1!250b1!253b1!258b1!263b1!10b1!12b1!13b1!14b1!16b1!17m1!3e1!20m4!5e2!6b1!8b1!14b1!46m1!1b0!96b1!99b1!17b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m33!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!1m3!1e9!2b1!3e2!2b1!9b0!15m8!1m7!1m2!1m1!1e2!2m2!1i195!2i195!3i20!22m5!1s4yVGabrOMIH41e8PpvuY4Q0!7e81!14m1!3s4yVGabrOMIH41e8PpvuY4Q0!15i9937!24m107!1m28!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m17!3b1!4b1!5b1!6b1!13b1!14b1!17b1!21b1!22b1!27m1!1b0!28b0!32b1!33m1!1b1!34b1!36e2!10m1!8e3!11m1!3e1!14m1!3b0!17b1!20m2!1e3!1e6!24b1!25b1!26b1!27b1!29b1!30m1!2b1!36b1!37b1!39m3!2m2!2i1!3i1!43b1!52b1!54m1!1b1!55b1!56m1!1b1!61m2!1m1!1e1!65m5!3m4!1m3!1m2!1i224!2i298!72m22!1m8!2b1!5b1!7b1!12m4!1b1!2b1!4m1!1e1!4b1!8m10!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts!6m1!1e1!9b1!89b1!98m3!1b1!2b1!3b1!103b1!113b1!114m3!1b1!2m1!1b1!117b1!122m1!1b1!126b1!127b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i530!2i768!1m6!1m2!1i974!2i0!2m2!1i1024!2i768!1m6!1m2!1i0!2i0!2m2!1i1024!2i20!1m6!1m2!1i0!2i748!2m2!1i1024!2i768!34m19!2b1!3b1!4b1!6b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!31b1!37m1!1e81!42b1!49m10!3b1!6m2!1b1!2b1!7m2!1e3!2b1!8b1!9b1!10e2!50m3!2e2!3m1!3b1!61b1!67m5!7b1!10b1!14b1!15m1!1b0!69i761,"
訂位",,·,$600-800,,,,,,,
https://www.google.com/maps/place/%E5%A4%9A%E6%91%A9%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442ae848e934757:0x8f1ee932911fc4be!8m2!3d25.110864!4d121.5301959!16s%2Fg%2F1pzvqfvpd!19sChIJV0eTjoSuQjQRvsQfkTLpHo8?authuser=0&hl=zh-TW&rclk=1,多摩食堂,4.4,"(2,125)",日本菜,·,營業中,· 打烊時間：14:00 · 恢復營業時間：17:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1u0_kOeRBETK918u77cCBDrK7wUegLLNEFVVkHgVLL9AXsoNs_Pe6-4p-uJ626bsfS3aOFjSlHKDkZd-wd32rCmDZqdijnnJ0jL2mmGHvLseTgsfkjPa0uklkJmE7htnzF45Awqm9suI=w122-h92-k-no,內用,·,外帶,,,,,,·,$400-600,,,,,,,
https://www.google.com/maps/place/%E5%A3%AB%E6%9D%B1%E6%B0%B4%E7%94%A2-%E5%A3%AB%E6%9E%97%E5%A4%A9%E6%AF%8D+%E6%BC%81%E8%88%B9%E7%9B%B4%E9%80%81+%E6%96%B0%E9%AE%AE%E6%BC%81%E7%8D%B2+%E4%BB%A3%E5%AE%A2%E6%96%99%E7%90%86+%E7%94%9F%E9%AD%9A%E7%89%87+%E4%B8%BC%E9%A3%AF+%E5%A3%BD%E5%8F%B8+%E8%BC%95%E9%A3%9F%E9%A4%90%E7%9B%92+%E6%B5%B7%E9%AE%AE%E5%86%B7%E5%87%8D%E9%9B%B6%E5%94%AE/data=!4m7!3m6!1s0x3442af8465b7068b:0x5e8fbd99701e6c0f!8m2!3d25.1119983!4d121.5272564!16s%2Fg%2F11sc0bsf4_!19sChIJiwa3ZYSvQjQRD2wecJm9j14?authuser=0&hl=zh-TW&rclk=1,士東水產-士林天母 漁船直送 新鮮漁獲 代客料理 生魚片 丼飯 壽司 輕食餐盒 海鮮冷凍零售,4.9,(90),鮮食市場,·,營業中,· 打烊時間：19:00,https://lh3.googleusercontent.com/p/AF1QipN3KSxJeDgRXdlZFa354eMZi8lcEe_TjBPAjodL=w163-h92-k-no,店內購物,,,,,,,,,,,,,,,,
https://www.google.com/maps/place/%E3%81%86%E3%81%AA%E3%81%8E%E5%9B%9B%E4%BB%A3%E7%9B%AE%E8%8F%8A%E3%81%8B%E3%82%8F%E5%8F%B0%E5%8C%97SOGO%E5%A4%A9%E6%AF%8D%E5%BA%97%28%E9%B0%BB%E9%AD%9A%E9%A3%AF%E5%B0%88%E8%B3%A3%E5%BA%97%29/data=!4m7!3m6!1s0x3442af004c34aacb:0x3bc04381596b02d3!8m2!3d25.105306!4d121.5245943!16s%2Fg%2F11whpp8nm5!19sChIJy6o0TACvQjQR0wJrWYFDwDs?authuser=0&hl=zh-TW&rclk=1,うなぎ四代目菊かわ台北SOGO天母店(鰻魚飯專賣店),4.8,"(1,019)",日本菜,·,營業中,· 打烊時間：22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzGxnKnsb2Og4GIdsFbo5mKHn8mAAv53L98uhq5sBuwp9qP-jx89Yed8d0Etq9K3bszORRCLB6ylsPMQ4u1khDKqoy9-KWtWhMc3GeHbfKS1V8Rhi6tS4Ym4bdRAe02SUy8iANKU3N9TrTT=w119-h92-k-no,內用,·,外帶,,,,,,·,"$800-1,000",,,,,,,
https://www.google.com/maps/place/%E4%B8%89%E5%AF%8C%E6%97%A5%E5%BC%8F%E5%AD%A3%E7%AF%80%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442ae9a7e574b99:0xf07835ecc6ff414!8m2!3d25.107233!4d121.526831!16s%2Fg%2F1vq72k8v!19sChIJmUtXfpquQjQRFPRvzF6DBw8?authuser=0&hl=zh-TW&rclk=1,三富日式季節料理,4.4,(360),正宗日式料理,德行東路59號,營業中,· 打烊時間：14:00 · 恢復營業時間：17:00,https://lh3.googleusercontent.com/p/AF1QipP6U4p0iVi9mcXGbPfhj4CNiq8gs2ljQbUTt3-N=w163-h92-k-no,內用,·,外帶,,,,,,·,$$,,,,,,,
https://www.google.com/maps/place/%E8%B1%9A%E9%A6%AC%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442ae971e1b9de5:0x838f2c6a22b7b29b!8m2!3d25.1035401!4d121.5227689!16s%2Fg%2F12hk8kw4c!19sChIJ5Z0bHpeuQjQRm7K3Imosj4M?authuser=0&hl=zh-TW&rclk=1,豚馬日本料理,4.9,"(6,809)",日本菜,福華路152號,營業中,· 打烊時間：14:00 · 恢復營業時間：17:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzJHqEYSn7RGVZqVU9YBwr15FHHOe0AjmqRgt41_c1-z1QDKAh9xpydyBXwkGXTuTf4AslKUh48ZcNGp1dxJfG8uc4J0yGFX2uYHQ-e2o1wH3Qc5Kqby_e7Xw1y56bPYhA_zK8=w80-h106-k-no,主打餐飲品項：,,生魚片,,,,,,·,$400-600,,https://www.gstatic.com/local/justifications/menu_highlight_24pd_G650.png,,,,,
https://www.google.com/maps/place/%E5%B4%A7%E5%89%B2%E7%83%B9/data=!4m7!3m6!1s0x3442af1183f85953:0xf24203461e0a26db!8m2!3d25.1036303!4d121.5218941!16s%2Fg%2F11h7dyf1kq!19sChIJU1n4gxGvQjQR2yYKHkYDQvI?authuser=0&hl=zh-TW&rclk=1,崧割烹,4.8,(183),日本菜,·,營業中,· 打烊時間：14:00 · 恢復營業時間：18:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMY42R0k3tpTDFA5Oq-F8zj9v24RwRCzLhmXpoFFEnhaFPC0LF5H6jYaywDfV07xFyWGh21wYyXflSE9XtN41wpd3jDQEwofYVlK8KTPadYr54Lb98DIQbSjyhx0rXZb-4P7na=w122-h92-k-no,內用,·,不可外帶,·,無外送服務,,,,·,"超過 $2,000",,,,,,,
https://www.google.com/maps/place/%E9%95%B7%E9%B4%BB%E4%B8%BC%E5%B1%8B/data=!4m7!3m6!1s0x3442ae8439ad970f:0xfae85943f50a376a!8m2!3d25.1131058!4d121.5293915!16s%2Fg%2F11cn8wwsgn!19sChIJD5etOYSuQjQRajcK9UNZ6Po?authuser=0&hl=zh-TW&rclk=1,長鴻丼屋,4.1,(480),日本地方料理餐廳,士東路91巷13號,營業中,· 打烊時間：14:00 · 恢復營業時間：17:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBZXy1y4By8Pky2cdqhdTk6lykBaVWfAzyHRGxLjIh9D673I-82t5e3McD1Q4gaLkRRl3KdnzLZt7TCkF9oRHZbAUkYnkiQD60FKODMVof63JWnD8P_RvLXI_XFUlbHfSHTiw=w163-h92-k-no,內用,·,外帶,·,外送,https://www.google.com/viewer/chooseprovider?mid=/g/11cn8wwsgn&g2lbs=AO8LyOKhybfcu1htp9ZxvRW5Fcm7aH5ea2Y-emkzS4G4S-u1iB5wLe6zKFuICsECT-0Q2qEb8_cf8-Fmn1Li9maK-qmveiuBoJUyI-Ar2DQOJ4OfqNR3l7LAkLKmpEc6uTb2fzBqUgic&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=5CVGaYHCEemqvr0P8Iiz2QM&ei=5CVGaYHCEemqvr0P8Iiz2QM&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp,"
線上點餐",,·,$200-400,,,,,,,
